window	Bract.rpkm	Corolla.rpkm	Ligule.rpkm	Ovary.rpkm	Pollen.rpkm	Seeds.rpkm	Stamen.rpkm	Stem.rpkm	Pistil.rpkm
window_1531	12.74	8.97	12.23	15.5	1474.51	55.93	79.24	10.84	24.84
window_1553	0.24	0.1	1.37	0	0	0.04	0.08	0.93	0.03
window_1560	194.28	98.18	210.52	52.51	0.29	44.22	16.86	108.08	81.65
window_1562	3.17	6.72	20.29	3.88	0.66	21.79	2.75	5.11	3.63
window_1569	0.05	0	0.02	0	0.09	0	0	0	0.04
window_1574	8.06	4.53	17.45	3.46	0.2	1.99	2.43	15.51	5.73
window_1590	1.3	1.24	1.69	0.51	0.06	4.58	1.42	2.9	0.69
window_1591	1.3	1.24	1.69	0.51	0.06	4.58	1.42	2.9	0.69
window_1592	0.07	0.1	1.96	3.48	0	1.26	0.12	3.12	0.49
window_1594	0	0	0.36	0.23	0	0.24	0	0.34	0.06
window_1599	3.06	3.32	4.67	3.3	0.15	2.05	2.75	8.37	2.55
window_1623	0.58	1.68	0.48	0	0	3.84	0.15	0.62	0.54
window_1631	32.16	107.5	45.65	498.09	0.04	88.78	64.69	73.35	47.43
window_1642	0	0	0	0.69	0.01	0	172.37	0	0.08
window_1643	0.74	0	0	3.47	0	0.39	0.3	0.03	0
window_1667	1.7	0	0	9.32	0	1.54	0.06	0.07	0.07
window_1692	23.66	7.11	24.09	10.18	0.09	21.68	5.39	27.06	11.29
window_1693	23.66	7.11	24.09	10.18	0.09	21.68	5.39	27.06	11.29
window_1706	0	0.01	0.4	0	0.04	0.14	0.18	0.04	0.06
window_1712	36.36	6.75	19.71	15.47	0.75	31.29	2.49	28.29	10.64
window_1714	5.34	3.59	18.91	3.13	7.4	7.4	79.13	1.17	13.05
window_1719	15.92	14.66	18.89	9.71	0.52	6.48	8.12	12.61	11.15
window_1737	8.99	7.13	9.39	4.77	0.08	7.33	3.75	8.14	9.01
window_1738	8.99	7.13	9.39	4.77	0.08	7.33	3.75	8.14	9.01
